name,email,contact,course
Scott Harrison,manningmark@rios.com,4063673656,Machine Learning
Cindy Taylor,umorales@pope.org,2330898798,Cybersecurity
Dana Kennedy,jodiwilliams@hotmail.com,8638153407,Java
William Brown,fischeryolanda@stanton.org,1071708805,Cybersecurity
Cynthia Miller,brianskinner@hotmail.com,9618285005,UI/UX
David Bennett,creynolds@page.info,4272553558,AI
Ronald Moore,jessica90@hotmail.com,6962692409,Machine Learning
Richard Orr,caroldennis@gmail.com,8937349109,AI
Jared Johnson,achoi@gmail.com,4761888732,Python
Taylor Smith,dana32@yahoo.com,0452210590,UI/UX
Mr. John Taylor,jonesmichael@daniel.com,0905893910,Data Science
Stephanie Smith,dryan@hotmail.com,2638804738,Machine Learning
Morgan Kim,olsoncheryl@curtis.biz,9490408024,Python
Stacy Torres,jeffreycamacho@wall.com,8704284064,Web Development
Ronald Davis,tony78@gmail.com,2529874036,Python
Lee Carpenter,michael76@bradford.com,0984975647,Machine Learning
Jose Harris,robertkelly@carter.com,0385062868,AI
Melanie Powell,davidvictoria@woods.com,3799435701,Machine Learning
Austin Gordon,yjohnson@hotmail.com,7199218162,Cybersecurity
Katelyn Carpenter,aaronayers@gmail.com,4827036934,Cloud Computing
Ann Arias,stacypoole@mills.biz,1489376730,Python
Kathryn Doyle,tanyajones@gould-herrera.net,0050449350,AI
Brooke Taylor,christophermiller@martin.com,4352492898,Java
Nicole Jackson,parrishjohn@hotmail.com,4510527625,UI/UX
Danielle Reyes,rachel18@yahoo.com,5743771274,AI
Steven Patrick Jr.,walterjackson@gmail.com,1234107822,Data Science
Darrell Rubio,coopersarah@harris-walls.com,2649228642,C++
Ryan Herring,whitebrandon@boyd-gutierrez.org,3488502424,Java
Claudia Cook,jeremyadams@matthews.org,6106786959,Java
Frank Avery,sullivancynthia@reed-taylor.com,7884707312,Java
Sara Cruz,williamsmeghan@taylor.com,8476618490,Cybersecurity
Dean Yu,bandersen@williams-hunt.com,7121506970,Machine Learning
Duane Ross,nmanning@gmail.com,2061156424,Cybersecurity
Victor Taylor,wjones@yahoo.com,6866481454,Java
Nathan Carlson,lambelizabeth@gmail.com,7010630959,Web Development
Rebecca Zimmerman,lwilliams@harding-cross.net,0928648535,C++
